acheive achieve
adress address
athiest atheist
beggining beginning
beleive believe
bisness business
catagory category
colledge college
committment commitment
concieve conceive
copywrite copyright
decaffinated decaffeinated
decathalon decathlon
definately definitely
desireable 	desirable
diety deity
dinning dining
dissapoint disappoint
dispell dispel
embarass embarrass
enviroment environment
expresso espresso
excercise exercise
extremly extremely
facist 	fascist
Febuary February
flourescent	fluorescent
fourty forty
freind	friend
guage gauge
goverment government
grammer grammar
harrass harass
hemorage hemorrhage
heros 	heroes
hieght height
hygeine hygiene
independance 	independence
inate 	innate
innoculate inoculate
irregardless 	regardless
judgement 	judgment
knowlege 	knowledge
lazer 	laser
libary 	library
lightening 	lightning
maintainance 	maintenance
managable 	manageable
midevil 	medieval
millenium 	millennium
mischievious 	mischievous
mispell 	misspell
mit 	mitt
monestary 	monastery
monkies 	monkeys
morgage 	mortgage
mountian 	mountain
neccessary 	necessary
neice 	niece
nickle 	nickel
nineth 	ninth
ninty 	ninety
noticable 	noticeable
occassion occasion
occured 	occurred
occurence 	occurrence
oppurtunity 	opportunity
origianal 	original
paralell 	parallel
pasttime 	pastime
pavillion 	pavilion
peice 	piece
percieve 	perceive
perserverance 	perseverance
persue 	pursue
pheonix 	phoenix
posession 	possession
pertend 	pretend
potatoe 	potato
preceeding 	preceding
pronounciation 	pronunciation
priviledge 	privilege
publically 	publicly
recieve 	receive
reccomend 	recommend
rediculous 	ridiculous
reguardless 	regardless
remeber 	remember
roomate 	roommate
rythm 	rhythm
sacreligious 	sacrilegious
seige 	siege
sentance 	sentence
seperate 	separate
sieze 	seize
similiar 	similar
sincerly 	sincerely
speach 	speech
speek 	speak
Sponser 	Sponsor
stragedy strategy
suggestable 	suggestible
supercede 	supersede
supposively 	supposedly
suprise 	surprise
thier 	their
throughly 	thoroughly
tommorrow 	tomorrow
tounge 	tongue
triathalon 	triathlon
ukelele 	ukulele
vaccuum 	vacuum
vacumme vacuum
vegeterian 	vegetarian
villian 	villain
Wendesday 	Wednesday
wierd 	weird 
writting 	writing
